/home/shinhwan/.local/lib/python2.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='sum' instead.
  warnings.warn(warning.format(ret))
pretrain.py:70: UserWarning: nn.init.xavier_normal is now deprecated in favor of nn.init.xavier_normal_.
  nn.init.xavier_normal(param)
pretrain.py:68: UserWarning: nn.init.constant is now deprecated in favor of nn.init.constant_.
  nn.init.constant(param, 0)
Model #Params: 5110K
...Finish Making Plot Folder...
EPOCH: 1 | TIME: 2020-03-08 22:34:13.822932 
[0][1220] KL: 607.0, Word: 80.70, Topo: 96.56, Assm: 80.47, Steo: 100.00
[0][1240] KL: 620.2, Word: 80.68, Topo: 96.78, Assm: 79.50, Steo: 100.00
[0][1260] KL: 656.2, Word: 81.58, Topo: 97.28, Assm: 81.91, Steo: 100.00
[0][1280] KL: 638.4, Word: 81.11, Topo: 97.08, Assm: 81.49, Steo: 100.00
[0][1300] KL: 677.3, Word: 81.84, Topo: 97.06, Assm: 81.68, Steo: 100.00
[0][1320] KL: 638.6, Word: 82.20, Topo: 96.96, Assm: 82.45, Steo: 100.00
[0][1340] KL: 605.0, Word: 81.25, Topo: 96.99, Assm: 80.70, Steo: 100.00
[0][1360] KL: 649.9, Word: 82.36, Topo: 97.30, Assm: 82.95, Steo: 100.00
[0][1380] KL: 706.3, Word: 82.50, Topo: 97.13, Assm: 81.42, Steo: 100.00
[0][1400] KL: 672.3, Word: 81.71, Topo: 97.23, Assm: 82.77, Steo: 100.00
[0][1420] KL: 631.8, Word: 81.93, Topo: 97.00, Assm: 81.47, Steo: 100.00
[0][1440] KL: 659.7, Word: 81.32, Topo: 96.87, Assm: 83.63, Steo: 100.00
[0][1460] KL: 653.3, Word: 82.12, Topo: 97.25, Assm: 85.15, Steo: 100.00
[0][1480] KL: 663.8, Word: 82.29, Topo: 97.06, Assm: 83.17, Steo: 100.00
[0][1500] KL: 688.6, Word: 83.10, Topo: 97.08, Assm: 83.64, Steo: 98.75
[0][1520] KL: 662.2, Word: 82.50, Topo: 96.86, Assm: 83.20, Steo: 100.00
[0][1540] KL: 652.5, Word: 82.27, Topo: 97.11, Assm: 84.11, Steo: 100.00
[0][1560] KL: 708.7, Word: 82.61, Topo: 97.18, Assm: 84.72, Steo: 100.00
[0][1580] KL: 668.8, Word: 83.31, Topo: 97.47, Assm: 84.69, Steo: 100.00
[0][1600] KL: 662.9, Word: 83.40, Topo: 97.65, Assm: 84.93, Steo: 100.00
[0][1620] KL: 684.4, Word: 83.82, Topo: 97.21, Assm: 84.30, Steo: 100.00
[0][1640] KL: 693.4, Word: 82.73, Topo: 97.27, Assm: 85.21, Steo: 100.00
[0][1660] KL: 673.1, Word: 83.33, Topo: 97.34, Assm: 85.20, Steo: 100.00
[0][1680] KL: 682.8, Word: 84.07, Topo: 97.45, Assm: 85.68, Steo: 100.00
[0][1700] KL: 708.8, Word: 83.41, Topo: 97.08, Assm: 86.83, Steo: 100.00
[0][1720] KL: 700.2, Word: 84.50, Topo: 97.49, Assm: 85.42, Steo: 100.00
[0][1740] KL: 702.1, Word: 84.83, Topo: 97.49, Assm: 84.98, Steo: 100.00
[0][1760] KL: 737.6, Word: 84.48, Topo: 97.85, Assm: 85.76, Steo: 100.00
[0][1780] KL: 722.1, Word: 84.17, Topo: 97.51, Assm: 85.55, Steo: 100.00
[0][1800] KL: 740.1, Word: 84.69, Topo: 97.63, Assm: 85.72, Steo: 100.00
[0][1820] KL: 698.9, Word: 84.57, Topo: 97.57, Assm: 86.72, Steo: 100.00
[0][1840] KL: 754.8, Word: 84.84, Topo: 97.60, Assm: 85.14, Steo: 100.00
[0][1860] KL: 703.4, Word: 85.01, Topo: 97.76, Assm: 85.13, Steo: 100.00
[0][1880] KL: 727.6, Word: 84.84, Topo: 97.68, Assm: 86.39, Steo: 100.00
[0][1900] KL: 716.5, Word: 83.98, Topo: 97.31, Assm: 86.75, Steo: 100.00
[0][1920] KL: 763.7, Word: 85.54, Topo: 97.62, Assm: 87.13, Steo: 100.00
[0][1940] KL: 730.6, Word: 84.66, Topo: 97.75, Assm: 86.37, Steo: 100.00
[0][1960] KL: 762.9, Word: 85.47, Topo: 97.85, Assm: 87.88, Steo: 100.00
[0][1980] KL: 717.0, Word: 86.06, Topo: 97.75, Assm: 85.82, Steo: 95.00
[0][2000] KL: 735.9, Word: 85.81, Topo: 97.81, Assm: 88.14, Steo: 98.33
[0][2020] KL: 784.1, Word: 86.17, Topo: 97.65, Assm: 89.22, Steo: 100.00
[0][2040] KL: 764.8, Word: 86.73, Topo: 97.95, Assm: 86.98, Steo: 100.00
[0][2060] KL: 805.8, Word: 86.53, Topo: 97.84, Assm: 88.75, Steo: 100.00
[0][2080] KL: 765.1, Word: 85.80, Topo: 97.65, Assm: 87.82, Steo: 100.00
[0][2100] KL: 774.6, Word: 85.87, Topo: 97.32, Assm: 86.38, Steo: 100.00
[0][2120] KL: 803.2, Word: 85.58, Topo: 97.56, Assm: 86.43, Steo: 100.00
[0][2140] KL: 739.3, Word: 85.77, Topo: 97.99, Assm: 87.66, Steo: 100.00
[0][2160] KL: 773.9, Word: 86.28, Topo: 97.78, Assm: 89.12, Steo: 100.00
[0][2180] KL: 794.0, Word: 86.43, Topo: 97.84, Assm: 88.34, Steo: 100.00
[0][2200] KL: 776.4, Word: 86.67, Topo: 97.81, Assm: 87.62, Steo: 100.00
[0][2220] KL: 770.4, Word: 86.18, Topo: 98.02, Assm: 88.61, Steo: 100.00
[0][2240] KL: 777.8, Word: 86.44, Topo: 97.91, Assm: 87.87, Steo: 100.00
[0][2260] KL: 790.5, Word: 87.25, Topo: 98.05, Assm: 88.65, Steo: 100.00
[0][2280] KL: 790.6, Word: 87.45, Topo: 97.92, Assm: 88.94, Steo: 100.00
[0][2300] KL: 766.9, Word: 87.73, Topo: 97.78, Assm: 87.32, Steo: 100.00
[0][2320] KL: 804.8, Word: 86.84, Topo: 97.79, Assm: 88.85, Steo: 100.00
[0][2340] KL: 804.4, Word: 87.40, Topo: 98.08, Assm: 89.87, Steo: 100.00
[0][2360] KL: 773.4, Word: 86.81, Topo: 98.03, Assm: 88.51, Steo: 100.00
[0][2380] KL: 780.2, Word: 87.08, Topo: 98.10, Assm: 88.45, Steo: 100.00
[0][2400] KL: 785.5, Word: 87.37, Topo: 98.14, Assm: 87.91, Steo: 100.00
[0][2420] KL: 837.4, Word: 87.56, Topo: 97.98, Assm: 87.88, Steo: 100.00
[0][2440] KL: 774.2, Word: 87.64, Topo: 98.04, Assm: 88.37, Steo: 100.00
[0][2460] KL: 806.8, Word: 87.26, Topo: 98.10, Assm: 88.96, Steo: 98.75
[0][2480] KL: 831.8, Word: 87.53, Topo: 97.82, Assm: 87.87, Steo: 100.00
[0][2500] KL: 845.8, Word: 88.14, Topo: 98.26, Assm: 88.78, Steo: 100.00
